260625_SnO2_+10_3 - 1 - 6/25/2026 1:55:18 PM,,,260625_SnO2_+10_3 - 2 - 6/25/2026 1:56:27 PM,,,260625_SnO2_+10_3 - 3 - 6/25/2026 1:57:36 PM,,,260625_SnO2_+10_3 - 4 - 6/25/2026 1:58:45 PM,,,260625_SnO2_+10_3 - 5 - 6/25/2026 1:59:54 PM,,,260625_SnO2_+10_3 - 6 - 6/25/2026 2:01:03 PM,,,260625_SnO2_+10_3 - 7 - 6/25/2026 2:02:12 PM,,,260625_SnO2_+10_3 - 8 - 6/25/2026 2:03:21 PM,,,260625_SnO2_+10_3 - 9 - 6/25/2026 2:04:30 PM,,,260625_SnO2_+10_3 - 10 - 6/25/2026 2:05:39 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
0.17,0.00,0.000,2.22,0.00,0.000,2.12,0.00,0.000,0.63,0.00,0.000,1.98,0.00,0.000,2.19,0.00,0.000,1.21,0.00,0.000,3.16,0.00,0.000,0.75,0.00,0.000,1.34,0.00,0.000
0.18,0.00,0.000,2.28,0.00,0.000,2.18,0.00,0.000,0.67,0.00,0.000,2.04,0.00,0.000,2.25,0.00,0.000,1.25,0.00,0.000,3.24,0.00,0.000,0.79,0.00,0.000,1.39,0.00,0.000
0.18,0.00,0.000,2.35,8.71,0.281,2.25,0.00,0.000,0.70,0.00,0.000,2.09,0.00,0.000,2.32,0.00,0.000,1.30,0.00,0.000,3.32,0.00,0.000,0.83,0.00,0.000,1.43,0.00,0.000
0.20,12.46,0.359,2.42,10.54,0.622,2.31,0.00,0.000,0.74,0.00,0.000,2.15,0.00,0.000,2.38,0.00,0.000,1.35,12.56,0.306,3.41,0.00,0.000,0.88,0.00,0.000,1.48,0.00,0.000
0.21,14.34,0.772,2.48,12.67,1.031,2.50,8.17,0.200,0.79,0.00,0.000,2.21,0.00,0.000,2.45,0.00,0.000,1.40,15.13,0.675,3.50,0.00,0.000,0.93,0.00,0.000,1.59,10.92,0.223
0.22,16.44,1.245,2.55,15.10,1.519,2.58,9.33,0.428,0.86,8.96,0.196,2.37,6.76,0.159,2.52,10.01,0.220,1.45,18.00,1.114,3.67,10.30,0.224,1.01,6.24,0.139,1.64,12.09,0.470
0.22,18.74,1.785,2.62,17.86,2.096,2.65,10.63,0.689,0.91,10.06,0.416,2.44,7.72,0.340,2.59,11.22,0.467,1.49,21.16,1.630,3.77,11.52,0.476,1.07,7.08,0.297,1.70,13.35,0.742
0.23,21.27,2.398,2.69,20.96,2.773,2.73,12.06,0.984,0.96,11.27,0.663,2.51,8.79,0.546,2.66,12.53,0.742,1.54,24.58,2.230,3.86,12.85,0.756,1.12,8.02,0.476,1.76,14.71,1.043
0.24,24.01,3.089,2.77,24.41,3.561,2.80,13.63,1.317,1.02,12.59,0.938,2.58,9.98,0.780,2.74,13.96,1.049,1.60,28.21,2.917,3.96,14.30,1.067,1.18,9.06,0.679,1.82,16.17,1.373
0.25,26.97,3.866,2.84,28.21,4.472,2.89,15.35,1.693,1.08,14.02,1.245,2.65,11.28,1.045,2.82,15.51,1.389,1.65,31.99,3.698,4.06,15.86,1.413,1.24,10.20,0.906,1.88,17.74,1.735
0.26,30.16,4.735,2.92,32.34,5.517,2.97,17.23,2.115,1.14,15.56,1.585,2.72,12.71,1.343,2.89,17.17,1.767,1.71,35.85,4.572,4.16,17.54,1.795,1.31,11.45,1.162,1.94,19.40,2.131
0.28,33.54,5.701,3.00,36.79,6.705,3.06,19.26,2.587,1.20,17.23,1.962,2.80,14.28,1.678,2.98,18.96,2.183,1.76,39.69,5.540,4.27,19.35,2.217,1.38,12.82,1.448,2.01,21.18,2.563
0.29,37.13,6.770,3.08,41.53,8.047,3.14,21.46,3.112,1.27,19.03,2.378,2.88,15.98,2.054,3.06,20.88,2.642,1.82,43.43,6.598,4.38,21.28,2.681,1.45,14.30,1.767,2.08,23.06,3.034
0.30,40.90,7.948,3.17,46.51,9.549,3.23,23.82,3.695,1.34,20.95,2.837,2.96,17.83,2.472,3.15,22.93,3.146,1.89,46.94,7.743,4.49,23.34,3.190,1.53,15.91,2.122,2.15,25.04,3.545
0.31,44.82,9.239,3.26,51.68,11.218,3.33,26.34,4.340,1.42,23.00,3.340,3.04,19.83,2.937,3.23,25.10,3.698,1.95,50.14,8.966,4.60,25.53,3.746,1.61,17.64,2.516,2.23,27.14,4.099
0.32,48.88,10.647,3.35,56.98,13.059,3.42,29.02,5.050,1.50,25.17,3.890,3.12,21.97,3.453,3.32,27.41,4.300,2.02,52.92,10.256,4.72,27.84,4.353,1.70,19.51,2.951,2.30,29.33,4.698
0.34,53.04,12.175,3.44,62.34,15.072,3.52,31.86,5.830,1.58,27.48,4.492,3.21,24.27,4.022,3.42,29.83,4.955,2.08,55.19,11.602,4.84,30.28,5.013,1.79,21.51,3.431,2.38,31.63,5.344
0.35,57.28,13.825,3.53,67.67,17.258,3.62,34.85,6.683,1.67,29.91,5.146,3.30,26.71,4.649,3.51,32.38,5.667,2.16,56.87,12.988,4.96,32.83,5.728,1.89,23.64,3.959,2.46,34.03,6.038
0.37,61.54,15.597,3.63,72.88,19.612,3.73,37.98,7.613,1.77,32.46,5.856,3.39,29.30,5.337,3.61,35.05,6.437,2.23,57.90,14.400,5.09,35.50,6.502,1.99,25.91,4.537,2.55,36.52,6.784
