260625_SnO2_+50 - 1 - 6/25/2026 12:45:45 PM,,,260625_SnO2_+50 - 2 - 6/25/2026 12:46:55 PM,,,260625_SnO2_+50 - 3 - 6/25/2026 12:48:04 PM,,,260625_SnO2_+50 - 4 - 6/25/2026 12:49:13 PM,,,260625_SnO2_+50 - 5 - 6/25/2026 12:50:22 PM,,,260625_SnO2_+50 - 6 - 6/25/2026 12:51:31 PM,,,260625_SnO2_+50 - 7 - 6/25/2026 12:52:40 PM,,,260625_SnO2_+50 - 8 - 6/25/2026 12:53:49 PM,,,260625_SnO2_+50 - 9 - 6/25/2026 12:54:58 PM,,,260625_SnO2_+50 - 10 - 6/25/2026 12:56:07 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
0.10,0.00,0.000,1.31,0.00,0.000,1.00,0.00,0.000,1.39,0.00,0.000,0.17,0.00,0.000,0.17,0.00,0.000,,,,0.25,0.00,0.000,1.78,0.00,0.000,0.22,0.00,0.000
0.11,0.00,0.000,1.35,0.00,0.000,1.03,0.00,0.000,1.43,0.00,0.000,0.18,0.00,0.000,0.18,0.00,0.000,,,,0.26,0.00,0.000,1.83,0.00,0.000,0.23,0.00,0.000
0.13,0.00,0.000,1.38,0.00,0.000,1.08,11.86,0.240,1.47,0.00,0.000,0.19,0.00,0.000,0.19,0.00,0.000,,,,0.27,0.00,0.000,1.88,0.00,0.000,0.25,4.24,0.137
0.14,0.00,0.000,1.42,0.00,0.000,1.12,13.11,0.504,1.51,0.00,0.000,0.20,4.08,0.151,0.20,0.00,0.000,,,,0.29,0.00,0.000,1.93,0.00,0.000,0.26,5.73,0.322
0.16,0.00,0.000,1.46,8.03,0.303,1.16,14.45,0.797,1.61,9.06,0.379,0.21,5.57,0.358,0.22,2.62,0.090,,,,0.31,4.86,0.139,1.99,11.39,0.420,0.27,7.59,0.568
0.18,0.00,0.000,1.50,9.87,0.676,1.20,15.90,1.118,1.66,11.32,0.852,0.22,7.39,0.633,0.23,3.85,0.222,,,,0.33,6.53,0.326,2.05,13.70,0.926,0.29,9.82,0.885
0.21,0.00,0.000,1.54,12.02,1.129,1.23,17.45,1.471,1.70,14.00,1.437,0.23,9.51,0.986,0.24,5.47,0.410,,,,0.34,8.59,0.571,2.10,16.34,1.529,0.30,12.43,1.287
0.26,7.84,0.299,1.58,14.51,1.677,1.28,19.11,1.857,1.75,17.13,2.153,0.24,11.89,1.427,0.25,7.49,0.668,,,,0.36,11.05,0.887,2.15,19.34,2.243,0.31,15.38,1.784
0.30,9.65,0.668,1.63,17.36,2.332,1.32,20.87,2.279,1.79,20.73,3.019,0.26,14.43,1.963,0.26,9.87,1.007,,,,0.37,13.90,1.285,2.21,22.70,3.081,0.33,18.60,2.386
0.33,11.78,1.117,1.67,20.59,3.110,1.36,22.74,2.739,1.84,24.81,4.056,0.27,16.99,2.594,0.28,12.55,1.439,,,,0.39,17.12,1.774,2.27,26.43,4.057,0.34,22.01,3.097
0.38,14.24,1.660,1.71,24.21,4.024,1.41,24.72,3.238,1.89,29.37,5.283,0.28,19.42,3.316,0.29,15.37,1.967,,,,0.41,20.62,2.364,2.33,30.51,5.183,0.36,25.46,3.920
0.42,17.07,2.312,1.76,28.22,5.089,1.45,26.81,3.780,1.94,34.39,6.720,0.30,21.56,4.116,0.30,18.15,2.591,,,,0.43,24.30,3.059,2.39,34.94,6.473,0.37,28.80,4.852
0.48,20.28,3.085,1.81,32.61,6.319,1.50,29.00,4.366,2.00,39.84,8.385,0.31,23.22,4.978,0.32,20.65,3.301,,,,0.44,28.01,3.860,2.45,39.69,7.938,0.39,31.86,5.882
0.54,23.89,3.997,1.85,37.35,7.729,1.55,31.30,4.999,2.05,45.65,10.293,0.33,24.28,5.880,0.33,22.65,4.080,,,,0.46,31.60,4.764,2.52,44.71,9.588,0.41,34.46,6.996
