260625_SnO2_0 - 1 - 6/25/2026 12:18:25 PM,,,260625_SnO2_0 - 2 - 6/25/2026 12:19:34 PM,,,260625_SnO2_0 - 3 - 6/25/2026 12:20:43 PM,,,260625_SnO2_0 - 4 - 6/25/2026 12:21:52 PM,,,260625_SnO2_0 - 5 - 6/25/2026 12:23:01 PM,,,260625_SnO2_0 - 6 - 6/25/2026 12:24:10 PM,,,260625_SnO2_0 - 7 - 6/25/2026 12:25:19 PM,,,260625_SnO2_0 - 8 - 6/25/2026 12:26:28 PM,,,260625_SnO2_0 - 9 - 6/25/2026 12:27:37 PM,,,260625_SnO2_0 - 10 - 6/25/2026 12:28:46 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
2.46,0.00,0.000,2.10,0.00,0.000,2.59,0.00,0.000,1.97,0.00,0.000,1.42,0.00,0.000,2.68,0.00,0.000,0.35,0.00,0.000,0.28,0.00,0.000,2.23,0.00,0.000,1.85,0.00,0.000
2.53,0.00,0.000,2.16,0.00,0.000,2.66,0.00,0.000,2.02,0.00,0.000,1.47,0.00,0.000,2.75,0.00,0.000,0.37,0.00,0.000,0.29,0.00,0.000,2.29,0.00,0.000,1.91,0.00,0.000
2.60,0.00,0.000,2.21,0.00,0.000,2.73,0.00,0.000,2.08,0.00,0.000,1.51,0.00,0.000,2.83,0.00,0.000,0.40,0.00,0.000,0.31,0.00,0.000,2.41,14.50,0.467,1.97,0.00,0.000
2.68,0.00,0.000,2.27,0.00,0.000,2.80,0.00,0.000,2.13,0.00,0.000,1.56,0.00,0.000,2.90,0.00,0.000,0.42,0.00,0.000,0.32,0.00,0.000,2.48,17.09,1.016,2.03,0.00,0.000
2.84,8.06,0.236,2.36,11.58,0.423,2.97,8.83,0.336,2.25,6.85,0.355,1.71,10.75,0.514,3.03,6.11,0.146,0.45,0.00,0.000,0.35,2.28,0.079,2.54,19.99,1.660,2.09,0.00,0.000
2.92,9.46,0.513,2.42,13.92,0.930,3.05,10.86,0.749,2.31,9.15,0.830,1.76,14.09,1.187,3.11,7.01,0.313,0.48,6.20,0.150,0.37,3.13,0.186,2.61,23.22,2.407,2.16,9.19,0.200
3.00,11.04,0.836,2.48,16.58,1.535,3.12,13.23,1.252,2.37,12.02,1.454,1.81,18.14,2.054,3.19,8.02,0.505,0.51,0.00,0.150,0.38,4.19,0.331,2.68,26.77,3.268,2.23,10.31,0.425
3.09,12.82,1.211,2.55,19.60,2.250,3.21,15.96,1.859,2.43,15.53,2.261,1.87,22.95,3.150,3.28,9.15,0.724,0.56,6.62,0.310,0.40,5.47,0.519,2.76,30.64,4.254,2.29,11.54,0.676
3.17,14.81,1.644,2.62,22.97,3.088,3.29,19.09,2.586,2.49,19.75,3.286,1.92,28.53,4.513,3.36,10.39,0.972,0.60,7.60,0.493,0.42,6.95,0.758,2.83,34.82,5.375,2.36,12.87,0.956
