260625_SnO2_-10 - 1 - 6/25/2026 12:05:54 PM,,,260625_SnO2_-10 - 2 - 6/25/2026 12:07:04 PM,,,260625_SnO2_-10 - 3 - 6/25/2026 12:08:13 PM,,,260625_SnO2_-10 - 4 - 6/25/2026 12:09:22 PM,,,260625_SnO2_-10 - 5 - 6/25/2026 12:10:31 PM,,,260625_SnO2_-10 - 6 - 6/25/2026 12:11:40 PM,,,260625_SnO2_-10 - 7 - 6/25/2026 12:12:49 PM,,,260625_SnO2_-10 - 8 - 6/25/2026 12:13:59 PM,,,260625_SnO2_-10 - 9 - 6/25/2026 12:15:08 PM,,,260625_SnO2_-10 - 10 - 6/25/2026 12:16:18 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
0.10,0.00,0.000,0.45,0.00,0.000,0.11,0.00,0.000,1.88,0.00,0.000,1.87,0.00,0.000,2.03,0.00,0.000,0.17,0.00,0.000,2.46,0.00,0.000,0.10,0.00,0.000,2.26,0.00,0.000
0.11,0.00,0.000,0.47,0.00,0.000,0.12,0.00,0.000,1.94,0.00,0.000,1.93,0.00,0.000,2.09,0.00,0.000,0.18,0.00,0.000,2.53,0.00,0.000,0.11,0.00,0.000,2.33,0.00,0.000
0.11,0.00,0.000,0.49,0.00,0.000,0.12,0.00,0.000,2.11,11.47,0.233,1.98,0.00,0.000,2.15,0.00,0.000,0.18,0.00,0.000,2.60,0.00,0.000,0.12,0.00,0.000,2.39,0.00,0.000
0.13,3.69,0.184,0.51,0.00,0.000,0.14,5.60,0.169,2.18,12.70,0.492,2.04,0.00,0.000,2.22,0.00,0.000,0.19,5.95,0.180,2.68,0.00,0.000,0.15,3.16,0.128,2.46,0.00,0.000
0.14,4.97,0.432,0.55,2.09,0.071,0.15,7.27,0.387,2.24,14.03,0.777,2.11,0.00,0.000,2.28,0.00,0.000,0.20,0.00,0.180,2.82,13.84,0.396,0.17,4.45,0.307,2.54,0.00,0.000
0.14,6.47,0.755,0.58,3.21,0.181,0.16,9.28,0.667,2.31,15.46,1.092,2.19,12.60,0.277,2.37,8.18,0.178,0.21,13.60,0.593,2.90,15.90,0.851,0.19,5.94,0.547,2.68,12.08,0.268
0.15,8.13,1.161,0.60,4.72,0.342,0.17,11.65,1.018,2.38,16.99,1.437,2.26,14.03,0.586,2.44,9.20,0.379,0.22,15.72,1.070,2.99,18.17,1.371,0.21,7.53,0.851,2.76,13.48,0.568
0.16,9.86,1.653,0.63,6.63,0.568,0.18,14.38,1.450,2.45,18.63,1.816,2.33,15.58,0.929,2.51,10.32,0.604,0.23,18.08,1.618,3.07,20.66,1.962,0.23,9.05,1.216,2.84,15.00,0.901
0.18,11.54,2.229,0.65,8.90,0.871,0.19,17.45,1.976,2.53,20.38,2.231,2.40,17.25,1.309,2.59,11.54,0.856,0.24,20.67,2.246,3.16,23.38,2.631,0.25,10.32,1.632,2.92,16.65,1.270
