260615_SnO2_CB_GB - 1 - 6/15/2026 2:19:44 PM,,,260615_SnO2_CB_GB - 2 - 6/15/2026 2:20:53 PM,,,260615_SnO2_CB_GB - 3 - 6/15/2026 2:22:02 PM,,,260615_SnO2_CB_GB - 4 - 6/15/2026 2:23:11 PM,,,260615_SnO2_CB_GB - 5 - 6/15/2026 2:24:20 PM,,,260615_SnO2_CB_GB - 6 - 6/15/2026 2:25:30 PM,,,260615_SnO2_CB_GB - 7 - 6/15/2026 2:26:39 PM,,,260615_SnO2_CB_GB - 8 - 6/15/2026 2:27:48 PM,,,260615_SnO2_CB_GB - 9 - 6/15/2026 2:28:57 PM,,,260615_SnO2_CB_GB - 10 - 6/15/2026 2:30:06 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
1.27,0.00,0.000,1.37,0.00,0.000,1.00,0.00,0.000,,,,0.10,0.00,0.000,1.14,0.00,0.000,1.12,0.00,0.000,1.56,0.00,0.000,0.20,0.00,0.000,1.18,0.00,0.000
1.31,0.00,0.000,1.41,0.00,0.000,1.03,0.00,0.000,,,,0.11,0.00,0.000,1.18,0.00,0.000,1.15,0.00,0.000,1.60,0.00,0.000,0.21,0.00,0.000,1.22,0.00,0.000
1.35,0.00,0.000,1.45,0.00,0.000,1.06,0.00,0.000,,,,0.12,0.00,0.000,1.21,0.00,0.000,1.19,0.00,0.000,1.64,0.00,0.000,0.22,0.00,0.000,1.25,0.00,0.000
1.39,0.00,0.000,1.49,0.00,0.000,1.11,9.92,0.201,,,,0.14,0.00,0.000,1.26,17.07,0.304,1.24,22.25,0.403,1.69,0.00,0.000,0.24,2.83,0.089,1.29,0.00,0.000
1.47,14.55,0.327,1.55,11.70,0.377,1.14,11.00,0.423,,,,0.16,0.00,0.000,1.30,18.45,0.632,1.28,23.93,0.837,1.73,0.00,0.000,0.25,3.72,0.207,1.33,0.00,0.000
1.52,16.17,0.690,1.60,13.76,0.820,1.18,12.18,0.670,,,,0.17,2.14,0.074,1.34,19.91,0.986,1.32,25.68,1.302,1.79,11.63,0.260,0.26,4.79,0.359,1.38,6.37,0.138
1.56,17.92,1.092,1.64,16.07,1.338,1.21,13.45,0.942,,,,0.19,2.69,0.166,1.38,21.44,1.368,1.36,27.51,1.800,1.83,13.00,0.551,0.27,6.03,0.549,1.42,7.20,0.295
1.61,19.79,1.536,1.69,18.66,1.938,1.25,14.81,1.241,,,,0.21,3.36,0.282,1.42,23.05,1.778,1.40,29.41,2.333,1.88,14.50,0.875,0.29,7.43,0.784,1.47,8.13,0.471
1.66,21.80,2.026,1.74,21.52,2.632,1.29,16.28,1.571,,,,0.24,4.17,0.425,1.46,24.74,2.218,1.44,31.40,2.901,1.93,16.12,1.235,0.30,8.95,1.067,1.51,9.15,0.670
1.71,23.95,2.563,1.78,24.67,3.426,1.33,17.84,1.932,,,,0.26,5.13,0.602,1.51,26.51,2.690,1.48,33.45,3.507,1.98,17.86,1.635,0.32,10.55,1.401,1.56,10.27,0.893
1.76,26.22,3.152,1.83,28.10,4.331,1.37,19.51,2.327,,,,0.29,6.27,0.817,1.55,28.35,3.194,1.53,35.58,4.152,2.03,19.74,2.076,0.34,12.17,1.785,1.61,11.49,1.143
1.81,28.63,3.794,1.89,31.80,5.355,1.41,21.29,2.757,,,,0.32,7.62,1.080,1.60,30.27,3.733,1.57,37.78,4.836,2.09,21.74,2.563,0.35,13.73,2.219,1.65,12.82,1.421
1.87,31.16,4.494,1.94,35.76,6.507,1.45,23.17,3.226,,,,0.35,9.19,1.396,1.65,32.26,4.307,1.62,40.04,5.561,2.14,23.88,3.097,0.37,15.15,2.698,1.70,14.26,1.731
1.92,33.81,5.253,1.99,39.96,7.794,1.49,25.16,3.735,,,,0.39,11.00,1.774,1.70,34.32,4.917,1.67,42.36,6.329,2.20,26.16,3.682,0.39,16.36,3.215,1.76,15.82,2.075
1.98,36.59,6.074,2.05,44.37,9.223,1.54,27.26,4.287,,,,0.43,13.08,2.225,1.75,36.45,5.566,1.72,44.73,7.139,2.25,28.56,4.320,0.41,17.28,3.762,1.81,17.50,2.455
2.04,39.47,6.960,2.11,48.96,10.800,1.59,29.46,4.883,,,,0.47,15.44,2.756,1.80,38.65,6.254,1.77,47.15,7.993,2.31,31.09,5.016,0.43,17.86,4.326,1.86,19.31,2.875
2.10,42.45,7.913,2.17,53.68,12.529,1.63,31.76,5.525,,,,0.52,18.10,3.379,1.86,40.90,6.982,1.83,49.62,8.892,2.37,33.75,5.770,0.45,18.06,4.897,1.92,21.24,3.336
2.17,45.53,8.935,2.23,58.49,14.413,1.68,34.15,6.216,,,,0.57,21.07,4.104,1.92,43.22,7.751,1.88,52.12,9.836,2.44,36.52,6.587,0.48,17.86,5.461,1.98,23.30,3.842
2.23,48.68,10.028,2.29,63.32,16.452,1.73,36.65,6.958,,,,0.63,24.35,4.942,1.98,45.58,8.562,1.94,54.65,10.826,2.50,39.40,7.468,0.50,17.28,6.008,2.04,25.48,4.396
2.30,51.90,11.193,2.36,68.11,18.646,1.79,39.23,7.752,,,,0.70,27.95,5.904,2.04,47.99,9.416,2.00,57.20,11.862,2.56,42.39,8.416,0.53,16.36,6.525,2.10,27.79,5.000
2.37,55.16,12.431,2.42,72.81,20.990,1.84,41.89,8.599,,,,0.77,31.85,7.000,2.10,50.44,10.313,2.06,59.76,12.944,2.63,45.46,9.433,0.55,15.15,7.004,2.16,30.23,5.656
2.44,58.45,13.743,2.49,77.33,23.481,1.90,44.62,9.502,,,,0.85,36.04,8.240,2.16,52.92,11.255,2.12,62.32,14.073,2.70,48.62,10.520,0.58,13.73,7.438,2.23,32.78,6.368
